district,year,type,1,2,3,4,5,6,7,8,9,10,11,12
Bhaktapur,2013,temp_min,1.7,4,5.1,8.2,15.3,20.2,20.8,20.1,18.5,14.5,5.6,2.8
Bhaktapur,2013,temp_max,19.5,20.6,22.5,28.8,28.7,30.7,29.7,28.4,29.1,23.6,23.5,19.9
Bhaktapur,2014,temp_min,1.7,4,5.1,8.2,15.3,20.2,20.8,20.4,18.8,12.2,5.4,2.6
Bhaktapur,2014,temp_max,19.5,20.6,22.5,28.8,28.7,30.7,29.7,28.9,28.3,26.3,22.4,19
Bhaktapur,2015,temp_min,1.1,5.3,8.2,11.5,15.8,19.4,20.9,20.7,19.3,12.5,7.4,2.2
Bhaktapur,2015,temp_max,19.4,21.9,23.9,25.9,30.2,30.9,29.6,29.2,29.5,27.6,23.9,19.6
Bhaktapur,2016,temp_min,2.1,4.3,8.2,11.6,15.6,20,21.1,20.5,19.7,14.6,6.4,3.5
Bhaktapur,2016,temp_max,18.6,23,26.3,30.9,29.1,30,28.3,30.5,28.2,28.1,24.4,22.3
Bhaktapur,2017,temp_min,0.9,4.6,7.8,11.8,15.5,19.3,21.1,20.9,19.6,14.8,7,2.7
Bhaktapur,2017,temp_max,20.1,23.3,23.5,28.3,29.2,30.8,30.1,30.1,30.5,28.9,24.9,23.2
Bhaktapur,2018 (Predicted),temp_min,0.9,4.6,7.8,11.8,15.5,19.3,21.1,20.9,19.6,14.8,7,2.7
Bhaktapur,2018 (Predicted),temp_max,20.1,23.3,23.5,28.3,29.2,30.8,30.1,30.1,30.5,28.9,24.9,23.2
,,,,,,,,,,,,,,
Bhaktapur,2013,humidity_min,0.2,40.7,28.6,17.7,47.7,51.2,46.8,64.6,67.2,54.4,56.7,50
Bhaktapur,2013,humidity_max,96.9,90.2,94.9,91.9,96,91.4,91.2,97.2,91.2,91.9,98.9,92.3
Bhaktapur,2013,humidity_avg,65.4,68.6,67.2,58.9,67,69.3,77.4,81.2,78,75.6,77.1,74.1
Bhaktapur,2014,humidity_min,0.2,40.7,28.6,17.7,47.7,51.2,46.8,64.6,67.2,54.4,56.7,50
Bhaktapur,2014,humidity_max,96.9,90.2,94.9,91.9,96,91.4,91.2,97.2,91.2,91.9,98.9,92.3
Bhaktapur,2014,humidity_avg,65.4,68.6,67.2,58.9,67,69.3,77.4,81.2,78,75.6,77.1,74.1
Bhaktapur,2015,humidity_min,0.2,40.7,28.6,17.7,47.7,51.2,46.8,64.6,67.2,54.4,56.7,50
Bhaktapur,2015,humidity_max,96.9,90.2,94.9,91.9,96,91.4,91.2,97.2,91.2,91.9,98.9,92.3
Bhaktapur,2015,humidity_avg,65.4,68.6,67.2,58.9,67,69.3,77.4,81.2,78,75.6,77.1,74.1
Bhaktapur,2016,humidity_min,0.2,40.7,28.6,17.7,47.7,51.2,46.8,64.6,67.2,54.4,56.7,50
Bhaktapur,2016,humidity_max,96.9,90.2,94.9,91.9,96,91.4,91.2,97.2,91.2,91.9,98.9,92.3
Bhaktapur,2016,humidity_avg,65.4,68.6,67.2,58.9,67,69.3,77.4,81.2,78,75.6,77.1,74.1
Bhaktapur,2017,humidity_min,0.2,40.7,28.6,17.7,47.7,51.2,46.8,64.6,67.2,54.4,56.7,50
Bhaktapur,2017,humidity_max,96.9,90.2,94.9,91.9,96,91.4,91.2,97.2,91.2,91.9,98.9,92.3
Bhaktapur,2017,humidity_avg,65.4,68.6,67.2,58.9,67,69.3,77.4,81.2,78,75.6,77.1,74.1
Bhaktapur,2018 (Predicted),humidity_min,0.2,40.7,28.6,17.7,47.7,51.2,46.8,64.6,67.2,54.4,56.7,50
Bhaktapur,2018 (Predicted),humidity_max,96.9,90.2,94.9,91.9,96,91.4,91.2,97.2,91.2,91.9,98.9,92.3
Bhaktapur,2018 (Predicted),humidity_avg,65.4,68.6,67.2,58.9,67,69.3,77.4,81.2,78,75.6,77.1,74.1
,,,,,,,,,,,,,,
Bhaktapur,2013,rain_total,2,13.5,0,0,30.8,172.2,364.9,349.8,91.1,100.7,0,0
Bhaktapur,2014,rain_total,2,13.5,0,0,30.8,172.2,364.9,278.6,67.5,121.5,0,9.8
Bhaktapur,2015,rain_total,0,21.2,60.6,26.6,77,130.4,309.2,370.1,89.6,40.4,0,0
Bhaktapur,2016,rain_total,1.4,11.4,3.4,3.2,135.7,317.5,363.3,153.2,231.6,65.3,0,0
Bhaktapur,2017,rain_total,23.4,0,90.9,86.1,125.9,127.7,254.5,271.4,89,29.9,2.3,0
Bhaktapur,2018 (Predicted),rain_total,23.4,0,90.9,86.1,125.9,127.7,254.5,271.4,89,29.9,2.3,0
