district,year,type,1,2,3,4,5,6,7,8,9,10,11,12
Chitwan,2013,temp_min,4.5,8.1,12.4,22.1,24.9,25.9,25.8,26.2,21.9,12.8,9.6,9.5
Chitwan,2013,temp_max,21.4,26.6,32.1,34.4,35.3,34.2,34.3,33.9,33.7,30.6,27.5,23.5
Chitwan,2014,temp_min,10.1,12.9,16.6,21.6,24.7,25.8,25.3,24.5,19.6,14.1,10.3,9.5
Chitwan,2014,temp_max,22.6,22.9,31.1,36.8,37.2,35.5,33.6,33,32.6,31.9,28.6,21.6
Chitwan,2015,temp_min,10.9,14.8,17.9,22.3,24.5,25.5,25.3,24.6,19.2,14.3,8.7,7.4
Chitwan,2015,temp_max,21.4,24.8,29,32.4,35.6,35.2,34.2,33.2,33.3,31.8,27.9,23
Chitwan,2016,temp_min,10.4,14.6,18.6,23.2,24.1,24.5,23.3,19,11,8.8,6.3,10.1
Chitwan,2016,temp_max,22.6,27.3,32.1,36.9,34.3,33.6,32.5,34.3,32.3,31.7,28.2,23.4
Chitwan,2017,temp_min,13.5,18.7,21.2,24.6,24.4,25.3,24.8,21,13,10.1,8,5
Chitwan,2017,temp_max,23.9,26.9,29.5,33.4,35.1,35.4,33.6,32.7,33.8,32.6,29.2,25.4
Chitwan,2018 (Predicted),temp_min,13.5,18.7,21.2,24.6,24.4,25.3,24.8,21,13,10.1,8,5
Chitwan,2018 (Predicted),temp_max,23.9,26.9,29.5,33.4,35.1,35.4,33.6,32.7,33.8,32.6,29.2,25.4
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Chitwan,2013,humidity_min,55.9,46.6,36.9,25.3,52,57.3,64.6,66.5,69.5,48.9,78.5,77.6
Chitwan,2013,humidity_max,100,97.8,95.7,98.2,92.9,98.4,100,98.4,98.3,98.2,98.3,98.7
Chitwan,2013,humidity_avg,85.2,79.6,68.1,71.7,73.3,79.7,83.8,86,86.8,87.7,90.9,94.6
Chitwan,2014,humidity_min,55.9,46.6,36.9,25.3,52,57.3,64.6,66.5,69.5,48.9,78.5,77.6
Chitwan,2014,humidity_max,100,97.8,95.7,98.2,92.9,98.4,100,98.4,98.3,98.2,98.3,98.7
Chitwan,2014,humidity_avg,85.2,79.6,68.1,71.7,73.3,79.7,83.8,86,86.8,87.7,90.9,94.6
Chitwan,2015,humidity_min,55.9,46.6,36.9,25.3,52,57.3,64.6,66.5,69.5,48.9,78.5,77.6
Chitwan,2015,humidity_max,100,97.8,95.7,98.2,92.9,98.4,100,98.4,98.3,98.2,98.3,98.7
Chitwan,2015,humidity_avg,85.2,79.6,68.1,71.7,73.3,79.7,83.8,86,86.8,87.7,90.9,94.6
Chitwan,2016,humidity_min,55.9,46.6,36.9,25.3,52,57.3,64.6,66.5,69.5,48.9,78.5,77.6
Chitwan,2016,humidity_max,100,97.8,95.7,98.2,92.9,98.4,100,98.4,98.3,98.2,98.3,98.7
Chitwan,2016,humidity_avg,85.2,79.6,68.1,71.7,73.3,79.7,83.8,86,86.8,87.7,90.9,94.6
Chitwan,2017,humidity_min,55.9,46.6,36.9,25.3,52,57.3,64.6,66.5,69.5,48.9,78.5,77.6
Chitwan,2017,humidity_max,100,97.8,95.7,98.2,92.9,98.4,100,98.4,98.3,98.2,98.3,98.7
Chitwan,2017,humidity_avg,85.2,79.6,68.1,71.7,73.3,79.7,83.8,86,86.8,87.7,90.9,94.6
Chitwan,2018 (Predicted),humidity_min,55.9,46.6,36.9,25.3,52,57.3,64.6,66.5,69.5,48.9,78.5,77.6
Chitwan,2018 (Predicted),humidity_max,100,97.8,95.7,98.2,92.9,98.4,100,98.4,98.3,98.2,98.3,98.7
Chitwan,2018 (Predicted),humidity_avg,85.2,79.6,68.1,71.7,73.3,79.7,83.8,86,86.8,87.7,90.9,94.6
,,,,,,,,,,,,,,
Chitwan,2013,rain_total,9.6,0,29.5,74.5,375.9,667.5,430.1,181.1,199.3,158.8,1.6,0
Chitwan,2014,rain_total,9.2,20.7,10.2,3.9,106.4,389.5,428,795.7,205.6,85,0,9.5
Chitwan,2015,rain_total,14,46.9,43.7,21,174.2,306.8,417.4,461.2,139,4.2,0,0
Chitwan,2016,rain_total,7.7,1.1,36.2,1.9,305.2,257.9,618.4,157.2,631.5,42.7,0,0
Chitwan,2017,rain_total,13.8,3.4,64.5,77.6,86.1,179.7,460.2,568,241.2,0.5,0,0
Chitwan,2018 (Predicted),rain_total,13.8,3.4,64.5,77.6,86.1,179.7,460.2,568,241.2,0.5,0,0
