district,year,type,1,2,3,4,5,6,7,8,9,10,11,12
kathmandu,2013,temp_min,4.8,7.1,14,14.5,13.6,15.1,20.6,21.2,18.4,17.9,9.3,6.7
kathmandu,2013,temp_max,28.5,22.4,28.6,27.7,30.9,30.6,29.4,30,30,26.7,24.2,23
kathmandu,2014,temp_min,4.7,6.2,9.9,14.1,17.8,19.1,19.6,20.5,18.7,15.6,11.7,7
kathmandu,2014,temp_max,18.8,17.3,23.9,29.6,30.5,30,29.7,30.1,28.2,26.1,24.9,21.9
kathmandu,2015,temp_min,7.3,9,11.4,14.3,17.6,21.1,21.3,19.7,19.7,18.5,10.5,5.8
kathmandu,2015,temp_max,21.1,25.9,26.9,29.5,31.1,32.2,30.8,30.1,30.7,30.5,30.2,25.7
kathmandu,2016,temp_min,3.8,5.2,10.9,14.4,16.1,18.7,20.6,21.2,20.4,16.6,9.2,7.3
kathmandu,2016,temp_max,25.5,28.8,28.9,30.7,32.3,33.2,33,34.4,31,29.6,26.7,23.2
kathmandu,2017,temp_min,4.5,6,8.8,12.6,16.2,20.8,21.2,21.2,20.6,18.6,8,5
kathmandu,2017,temp_max,26,28.3,29.9,31,30.8,32.3,31.5,31.1,30.6,30.4,26.3,22.7
,,,,,,,,,,,,,,
kathmandu,2013,humidity_min,58.9,65.5,58.5,14.4,57,66.9,80.1,75.9,70,62.6,63.1,63.6
kathmandu,2013,humidity_max,100,97.7,97.7,96.5,98.2,96.9,97.4,96.8,98.3,92.4,90.9,93.4
kathmandu,2013,humidity_avg,83.1,86,84.6,85.9,84.5,84,88,86.6,87.5,83.9,78.2,80.1
kathmandu,2014,humidity_min,58.9,65.5,58.5,14.4,57,66.9,80.1,75.9,70,62.6,63.1,63.6
kathmandu,2014,humidity_max,100,97.7,97.7,96.5,98.2,96.9,97.4,96.8,98.3,92.4,90.9,93.4
kathmandu,2014,humidity_avg,83.1,86,84.6,85.9,84.5,84,88,86.6,87.5,83.9,78.2,80.1
kathmandu,2015,humidity_min,58.9,65.5,58.5,14.4,57,66.9,80.1,75.9,70,62.6,63.1,63.6
kathmandu,2015,humidity_max,100,97.7,97.7,96.5,98.2,96.9,97.4,96.8,98.3,92.4,90.9,93.4
kathmandu,2015,humidity_avg,83.1,86,84.6,85.9,84.5,84,88,86.6,87.5,83.9,78.2,80.1
kathmandu,2016,humidity_min,58.9,65.5,58.5,14.4,57,66.9,80.1,75.9,70,62.6,63.1,63.6
kathmandu,2016,humidity_max,100,97.7,97.7,96.5,98.2,96.9,97.4,96.8,98.3,92.4,90.9,93.4
kathmandu,2016,humidity_avg,83.1,86,84.6,85.9,84.5,84,88,86.6,87.5,83.9,78.2,80.1
kathmandu,2017,humidity_min,58.9,65.5,58.5,14.4,57,66.9,80.1,75.9,70,62.6,63.1,63.6
kathmandu,2017,humidity_max,100,97.7,97.7,96.5,98.2,96.9,97.4,96.8,98.3,92.4,90.9,93.4
kathmandu,2017,humidity_avg,83.1,86,84.6,85.9,84.5,84,88,86.6,87.5,83.9,78.2,80.1
,,,,,,,,,,,,,,
kathmandu,2013,rain_total,13.2,25.5,0,12.2,201,187.3,289,346.3,113.6,107.9,0,0
kathmandu,2014,rain_total,0,15.4,22.8,7.3,92,203.6,479.8,357.2,349.1,75.7,0,24.9
kathmandu,2015,rain_total,13.8,97.1,52.2,39.6,23.8,181.9,489.6,483.6,139.3,18.4,0,0
kathmandu,2016,rain_total,0,20.2,1.7,12.8,108.1,305.1,489.7,233.7,0,57.8,0,0
kathmandu,2017,rain_total,10.1,0,79.6,60.1,165.3,183.2,414.5,314.1,84.6,58,0,0
