district,year,type,1,2,3,4,5,6,7,8,9,10,11,12
kathmandu,2013,temp_min,4.4,8.5,12.7,14.4,19.2,20.7,21.6,20,18,17.7,10.5,7.2
kathmandu,2013,temp_max,11.9,14.2,20.1,22.6,24.4,25,24.2,24.3,24,20.2,16.8,12.4
kathmandu,2014,temp_min,6.3,7.7,11.1,15.3,17.1,20.5,21.7,21.6,20.5,14.7,11.6,7.4
kathmandu,2014,temp_max,13.1,13.1,20,23.3,25.4,25.3,24.5,24.2,24,20.4,17.1,14.3
kathmandu,2015,temp_min,7,8,12.3,15,17,20.6,22,21,20,18,12.1,13
kathmandu,2015,temp_max,13.6,14.5,20,20.3,24.3,25.8,25.2,23.5,24.2,20.6,17.8,12
kathmandu,2016,temp_min,7.3,8.2,12.4,16.5,17.3,21.3,22,21.4,20.8,18.2,10,8.7
kathmandu,2016,temp_max,13.1,13.1,20,23.3,25.4,25.3,24.5,24.2,24,20.4,17.1,14.3
kathmandu,2017,temp_min,5.3,9.1,11.4,14.6,16.3,21,22,20.1,18.5,14.5,5.6,2.8
kathmandu,2017,temp_max,13,14,20.1,22,23.2,24.3,23.9,23,24.2,22.5,17,13
kathmandu,2018 (Predicted),temp_min,5.3,9.1,11.4,14.6,16.3,21,22,20.1,18.5,14.5,5.6,2.8
kathmandu,2018 (Predicted),temp_max,13,14,20.1,22,23.2,24.3,23.9,23,24.2,22.5,17,13
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
kathmandu,2013,humidity_max,98.4,98.8,97.8,100,100,100,98.1,98,97.9,97.5,98,101.3
kathmandu,2013,humidity_min,75.3,78.3,55.7,27.1,38,30.8,52.4,71.8,51.7,30.2,60.9,56.8
kathmandu,2013,humidity_avg,92,92.4,90.1,84.1,91.6,95.1,94.2,91.9,83.9,74.9,82.1,82
kathmandu,2014,humidity_max,98.4,98.8,97.8,100,100,100,98.1,98,97.9,97.5,98,101.3
kathmandu,2014,humidity_min,75.3,78.3,55.7,27.1,38,30.8,52.4,71.8,51.7,30.2,60.9,56.8
kathmandu,2014,humidity_avg,92,92.4,90.1,84.1,91.6,95.1,94.2,91.9,83.9,74.9,82.1,82
kathmandu,2015,humidity_max,98.4,98.8,97.8,100,100,100,98.1,98,97.9,97.5,98,101.3
kathmandu,2015,humidity_min,75.3,78.3,55.7,27.1,38,30.8,52.4,71.8,51.7,30.2,60.9,56.8
kathmandu,2015,humidity_avg,92,92.4,90.1,84.1,91.6,95.1,94.2,91.9,83.9,74.9,82.1,82
kathmandu,2016,humidity_max,98.4,98.8,97.8,100,100,100,98.1,98,97.9,97.5,98,101.3
kathmandu,2016,humidity_min,75.3,78.3,55.7,27.1,38,30.8,52.4,71.8,51.7,30.2,60.9,56.8
kathmandu,2016,humidity_avg,92,92.4,90.1,84.1,91.6,95.1,94.2,91.9,83.9,74.9,82.1,82
kathmandu,2017,humidity_max,98.4,98.8,97.8,100,100,100,98.1,98,97.9,97.5,98,101.3
kathmandu,2017,humidity_min,75.3,78.3,55.7,27.1,38,30.8,52.4,71.8,51.7,30.2,60.9,56.8
kathmandu,2017,humidity_avg,92,92.4,90.1,84.1,91.6,95.1,94.2,91.9,83.9,74.9,82.1,82
kathmandu,2018 (Predicted),humidity_max,98.4,98.8,97.8,100,100,100,98.1,98,97.9,97.5,98,101.3
kathmandu,2018 (Predicted),humidity_min,75.3,78.3,55.7,27.1,38,30.8,52.4,71.8,51.7,30.2,60.9,56.8
kathmandu,2018 (Predicted),humidity_avg,92,92.4,90.1,84.1,91.6,95.1,94.2,91.9,83.9,74.9,82.1,82
,,,,,,,,,,,,,,
kathmandu,2013,rain_total,47.4,38,34.8,64.8,73.4,309.7,562.6,601.1,250,142.4,3.2,0
kathmandu,2014,rain_total,14.6,37.6,59.8,17.9,59.2,81.2,713,621.4,230,80.6,0,57.8
kathmandu,2015,rain_total,77.6,39.6,64.2,83.6,51.2,207.6,325.4,398.5,229.4,13.9,0,0
kathmandu,2016,rain_total,18,11,25.4,17.2,59.2,81.2,713,621.4,230,80.6,0,57.8
kathmandu,2017,rain_total,60,40,55,54.9,101.3,270.3,570.1,474,251.7,71.1,0,0
kathmandu,2018 (Predicted),rain_total,60,40,55,54.9,101.3,270.3,570.1,474,251.7,71.1,0,0
