district,year,month,max_temp,min_temp,rh_max,rh_min,rh_avg,rainfall,,rice_yield,wheat_yield,maize_yield,barley_yield,millet_yield,plant_rice,plant_wheat,plant_maize,plant_barley,plant_millet
Bhaktapur,2013,1,19.5,1.7,96.9,0.2,65.4,2,,0,3670,0,0,0,no,yes,no,no,no
Bhaktapur,2013,2,20.6,4,90.2,40.7,68.6,13.5,,0,3670,4000,0,0,no,yes,yes,no,no
Bhaktapur,2013,3,22.5,5.1,94.9,28.6,67.2,0,,0,0,4000,0,0,no,no,yes,no,no
Bhaktapur,2013,4,28.8,8.2,91.9,17.7,58.9,0,,0,0,4000,0,0,no,no,yes,no,no
Bhaktapur,2013,5,28.7,15.3,96,47.7,67,30.8,,0,0,4000,1100,0,no,no,yes,yes,no
Bhaktapur,2013,6,30.7,20.2,91.4,51.2,69.3,172.2,,5900,0,4000,1100,0,yes,no,yes,yes,no
Bhaktapur,2013,7,29.7,20.8,91.2,46.8,77.4,364.9,,5900,0,4000,1100,1415,yes,no,yes,yes,yes
Bhaktapur,2013,8,28.4,20.1,97.2,64.6,81.2,349.8,,5900,0,0,1100,1415,yes,no,no,yes,yes
Bhaktapur,2013,9,29.1,18.5,91.2,67.2,78,91.1,,5900,0,0,1100,1415,yes,no,no,yes,yes
Bhaktapur,2013,10,23.6,14.5,91.9,54.4,75.6,100.7,,0,0,0,1100,1415,no,no,no,yes,yes
Bhaktapur,2013,11,23.5,5.6,98.9,56.7,77.1,0,,0,4100,0,0,1415,no,yes,no,no,yes
Bhaktapur,2013,12,19.9,2.8,92.3,50,74.1,0,,0,4100,0,0,0,no,yes,no,no,no
Bhaktapur,2014,1,19.5,1.7,96.9,0.2,65.4,2,,0,4100,0,0,0,no,yes,no,no,no
Bhaktapur,2014,2,20.6,4,90.2,40.7,68.6,13.5,,0,4100,4000,0,0,no,yes,yes,no,no
Bhaktapur,2014,3,22.5,5.1,94.9,28.6,67.2,0,,0,0,4000,0,0,no,no,yes,no,no
Bhaktapur,2014,4,28.8,8.2,91.9,17.7,58.9,0,,0,0,4000,0,0,no,no,yes,no,no
Bhaktapur,2014,5,28.7,15.3,96,47.7,67,30.8,,0,0,4000,1100,0,no,no,yes,yes,no
Bhaktapur,2014,6,30.7,20.2,91.4,51.2,69.3,172.2,,5900,0,4000,1100,0,yes,no,yes,yes,no
Bhaktapur,2014,7,29.7,20.8,91.2,46.8,77.4,364.9,,5900,0,4000,1100,1415,yes,no,yes,yes,yes
Bhaktapur,2014,8,28.9,20.4,97.2,64.6,81.2,278.6,,5900,0,0,1100,1415,yes,no,no,yes,yes
Bhaktapur,2014,9,28.3,18.8,91.2,67.2,78,67.5,,5900,0,0,1100,1415,yes,no,no,yes,yes
Bhaktapur,2014,10,26.3,12.2,91.9,54.4,75.6,121.5,,0,0,0,1100,1415,no,no,no,yes,yes
Bhaktapur,2014,11,22.4,5.4,98.9,56.7,77.1,0,,0,4100,0,0,1415,no,yes,no,no,yes
Bhaktapur,2014,12,19,2.6,92.3,50,74.1,9.8,,0,4100,0,0,0,no,yes,no,no,no
Bhaktapur,2015,1,19.4,1.1,96.9,0.2,65.4,0,,0,4100,0,0,0,no,yes,no,no,no
Bhaktapur,2015,2,21.9,5.3,90.2,40.7,68.6,21.2,,0,4100,4100,0,0,no,yes,yes,no,no
Bhaktapur,2015,3,23.9,8.2,94.9,28.6,67.2,60.6,,0,0,4100,0,0,no,no,yes,no,no
Bhaktapur,2015,4,25.9,11.5,91.9,17.7,58.9,26.6,,0,0,4100,0,0,no,no,yes,no,no
Bhaktapur,2015,5,30.2,15.8,96,47.7,67,77,,0,0,4100,1036,0,no,no,yes,yes,no
Bhaktapur,2015,6,30.9,19.4,91.4,51.2,69.3,130.4,,5741,0,4100,1036,0,yes,no,yes,yes,no
Bhaktapur,2015,7,29.6,20.9,91.2,46.8,77.4,309.2,,5741,0,4100,1036,1418,yes,no,yes,yes,yes
Bhaktapur,2015,8,29.2,20.7,97.2,64.6,81.2,370.1,,5741,0,0,1036,1418,yes,no,no,yes,yes
Bhaktapur,2015,9,29.5,19.3,91.2,67.2,78,89.6,,5741,0,0,1036,1418,yes,no,no,yes,yes
Bhaktapur,2015,10,27.6,12.5,91.9,54.4,75.6,40.4,,0,0,0,1036,1418,no,no,no,yes,yes
Bhaktapur,2015,11,23.9,7.4,98.9,56.7,77.1,0,,0,4100,0,0,1418,no,yes,no,no,yes
Bhaktapur,2015,12,19.6,2.2,92.3,50,74.1,0,,0,4100,0,0,0,no,yes,no,no,no
Bhaktapur,2016,1,18.6,2.1,96.9,0.2,65.4,1.4,,0,4100,0,0,0,no,yes,no,no,no
Bhaktapur,2016,2,23,4.3,90.2,40.7,68.6,11.4,,0,4100,4100,0,0,no,yes,yes,no,no
Bhaktapur,2016,3,26.3,8.2,94.9,28.6,67.2,3.4,,0,0,4100,0,0,no,no,yes,no,no
Bhaktapur,2016,4,30.9,11.6,91.9,17.7,58.9,3.2,,0,0,4100,0,0,no,no,yes,no,no
Bhaktapur,2016,5,29.1,15.6,96,47.7,67,135.7,,0,0,4100,1036,0,no,no,yes,yes,no
Bhaktapur,2016,6,30,20,91.4,51.2,69.3,317.5,,5741,0,4100,1036,0,yes,no,yes,yes,no
Bhaktapur,2016,7,28.3,21.1,91.2,46.8,77.4,363.3,,5741,0,4100,1036,1418,yes,no,yes,yes,yes
Bhaktapur,2016,8,30.5,20.5,97.2,64.6,81.2,153.2,,5741,0,0,1036,1418,yes,no,no,yes,yes
Bhaktapur,2016,9,28.2,19.7,91.2,67.2,78,231.6,,5741,0,0,1036,1418,yes,no,no,yes,yes
Bhaktapur,2016,10,28.1,14.6,91.9,54.4,75.6,65.3,,0,0,0,1036,1418,no,no,no,yes,yes
Bhaktapur,2016,11,24.4,6.4,98.9,56.7,77.1,0,,0,4100,0,0,1418,no,yes,no,no,yes
Bhaktapur,2016,12,22.3,3.5,92.3,50,74.1,0,,0,4100,0,0,0,no,yes,no,no,no
Bhaktapur,2017,1,20.1,0.9,96.9,0.2,65.4,23.4,,0,4100,0,0,0,no,yes,no,no,no
Bhaktapur,2017,2,23.3,4.6,90.2,40.7,68.6,0,,0,4100,4100,0,0,no,yes,yes,no,no
Bhaktapur,2017,3,23.5,7.8,94.9,28.6,67.2,90.9,,0,0,4100,0,0,no,no,yes,no,no
Bhaktapur,2017,4,28.3,11.8,91.9,17.7,58.9,86.1,,0,0,4100,0,0,no,no,yes,no,no
Bhaktapur,2017,5,29.2,15.5,96,47.7,67,125.9,,0,0,4100,1036,0,no,no,yes,yes,no
Bhaktapur,2017,6,30.8,19.3,91.4,51.2,69.3,127.7,,5741,0,4100,1036,0,yes,no,yes,yes,no
Bhaktapur,2017,7,30.1,21.1,91.2,46.8,77.4,254.5,,5741,0,4100,1036,1418,yes,no,yes,yes,yes
Bhaktapur,2017,8,30.1,20.9,97.2,64.6,81.2,271.4,,5741,0,0,1036,1418,yes,no,no,yes,yes
Bhaktapur,2017,9,30.5,19.6,91.2,67.2,78,89,,5741,0,0,1036,1418,yes,no,no,yes,yes
Bhaktapur,2017,10,28.9,14.8,91.9,54.4,75.6,29.9,,0,0,0,1036,1418,no,no,no,yes,yes
Bhaktapur,2017,11,24.9,7,98.9,56.7,77.1,2.3,,0,4100,0,0,1418,no,yes,no,no,yes
Bhaktapur,2017,12,23.2,2.7,92.3,50,74.1,0,,0,4100,0,0,0,no,yes,no,no,no
Chitwan,2013,1,21.4,4.5,100,55.9,85.2,9.6,,0,3443,0,0,0,no,yes,no,no,no
Chitwan,2013,2,26.6,8.1,97.8,46.6,79.6,0,,0,3443,3009,0,0,no,yes,yes,no,no
Chitwan,2013,3,32.1,12.4,95.7,36.9,68.1,29.5,,0,0,3009,0,0,no,no,yes,no,no
Chitwan,2013,4,34.4,22.1,98.2,25.3,71.7,74.5,,0,0,3009,0,0,no,no,yes,no,no
Chitwan,2013,5,35.3,24.9,92.9,52,73.3,375.9,,0,0,3009,1000,0,no,no,yes,yes,no
Chitwan,2013,6,34.2,25.9,98.4,57.3,79.7,667.5,,3312,0,3009,1000,0,yes,no,yes,yes,no
Chitwan,2013,7,34.3,25.8,100,64.6,83.8,430.1,,3312,0,3009,1000,1000,yes,no,yes,yes,yes
Chitwan,2013,8,33.9,26.2,98.4,66.5,86,181.1,,3312,0,0,1000,1000,yes,no,no,yes,yes
Chitwan,2013,9,33.7,21.9,98.3,69.5,86.8,199.3,,3312,0,0,1000,1000,yes,no,no,yes,yes
Chitwan,2013,10,30.6,12.8,98.2,48.9,87.7,158.8,,0,0,0,1000,1000,no,no,no,yes,yes
Chitwan,2013,11,27.5,9.6,98.3,78.5,90.9,1.6,,0,3443,0,0,1000,no,yes,no,no,yes
Chitwan,2013,12,23.5,9.5,98.7,77.6,94.6,0,,0,3443,0,0,0,no,yes,no,no,no
Chitwan,2014,1,22.6,10.1,100,55.9,85.2,9.2,,0,3443,0,0,0,no,yes,no,no,no
Chitwan,2014,2,22.9,12.9,97.8,46.6,79.6,20.7,,0,3443,3009,0,0,no,yes,yes,no,no
Chitwan,2014,3,31.1,16.6,95.7,36.9,68.1,10.2,,0,0,3009,0,0,no,no,yes,no,no
Chitwan,2014,4,36.8,21.6,98.2,25.3,71.7,3.9,,0,0,3009,0,0,no,no,yes,no,no
Chitwan,2014,5,37.2,24.7,92.9,52,73.3,106.4,,0,0,3009,1000,0,no,no,yes,yes,no
Chitwan,2014,6,35.5,25.8,98.4,57.3,79.7,389.5,,3312,0,3009,1000,0,yes,no,yes,yes,no
Chitwan,2014,7,33.6,25.3,100,64.6,83.8,428,,3312,0,3009,1000,1000,yes,no,yes,yes,yes
Chitwan,2014,8,33,24.5,98.4,66.5,86,795.7,,3312,0,0,1000,1000,yes,no,no,yes,yes
Chitwan,2014,9,32.6,19.6,98.3,69.5,86.8,205.6,,3312,0,0,1000,1000,yes,no,no,yes,yes
Chitwan,2014,10,31.9,14.1,98.2,48.9,87.7,85,,0,0,0,1000,1000,no,no,no,yes,yes
Chitwan,2014,11,28.6,10.3,98.3,78.5,90.9,0,,0,3443,0,0,1000,no,yes,no,no,yes
Chitwan,2014,12,21.6,9.5,98.7,77.6,94.6,9.5,,0,3443,0,0,0,no,yes,no,no,no
Chitwan,2015,1,21.4,10.9,100,55.9,85.2,14,,0,3443,0,0,0,no,yes,no,no,no
Chitwan,2015,2,24.8,14.8,97.8,46.6,79.6,46.9,,0,3443,2814,0,0,no,yes,yes,no,no
Chitwan,2015,3,29,17.9,95.7,36.9,68.1,43.7,,0,0,2814,0,0,no,no,yes,no,no
Chitwan,2015,4,32.4,22.3,98.2,25.3,71.7,21,,0,0,2814,0,0,no,no,yes,no,no
Chitwan,2015,5,35.6,24.5,92.9,52,73.3,174.2,,0,0,2814,1399,0,no,no,yes,yes,no
Chitwan,2015,6,35.2,25.5,98.4,57.3,79.7,306.8,,3399,0,2814,1399,0,yes,no,yes,yes,no
Chitwan,2015,7,34.2,25.3,100,64.6,83.8,417.4,,3399,0,2814,1399,1087,yes,no,yes,yes,yes
Chitwan,2015,8,33.2,24.6,98.4,66.5,86,461.2,,3399,0,0,1399,1087,yes,no,no,yes,yes
Chitwan,2015,9,33.3,19.2,98.3,69.5,86.8,139,,3399,0,0,1399,1087,yes,no,no,yes,yes
Chitwan,2015,10,31.8,14.3,98.2,48.9,87.7,4.2,,0,0,0,1399,1087,no,no,no,yes,yes
Chitwan,2015,11,27.9,8.7,98.3,78.5,90.9,0,,0,3342,0,0,1087,no,yes,no,no,yes
Chitwan,2015,12,23,7.4,98.7,77.6,94.6,0,,0,3342,0,0,0,no,yes,no,no,no
Chitwan,2016,1,22.6,10.4,100,55.9,85.2,7.7,,0,3342,0,0,0,no,yes,no,no,no
Chitwan,2016,2,27.3,14.6,97.8,46.6,79.6,1.1,,0,3342,2814,0,0,no,yes,yes,no,no
Chitwan,2016,3,32.1,18.6,95.7,36.9,68.1,36.2,,0,0,2814,0,0,no,no,yes,no,no
